date,confirm,region
2022-02-26,1175,Quebec
2022-02-26,0,Repatriated Travellers
2022-02-26,1101,Saskatchewan
2022-02-26,0,Yukon
2022-02-27,458,Alberta
2022-02-27,297,British Columbia
2022-02-27,425,Manitoba
2022-02-27,0,New Brunswick
2022-02-27,256,Newfoundland and Labrador
2022-02-27,0,Northwest Territories
2022-02-27,322,Nova Scotia
2022-02-27,0,Nunavut
2022-02-27,2001,Ontario
2022-02-27,0,Prince Edward Island
2022-02-27,1036,Quebec
2022-02-27,0,Repatriated Travellers
2022-02-27,0,Saskatchewan
2022-02-27,0,Yukon
2022-02-28,383,Alberta
2022-02-28,279,British Columbia
2022-02-28,111,Manitoba
2022-02-28,1065,New Brunswick
2022-02-28,327,Newfoundland and Labrador
2022-02-28,115,Northwest Territories
2022-02-28,243,Nova Scotia
2022-02-28,145,Nunavut
2022-02-28,1315,Ontario
2022-02-28,933,Prince Edward Island
2022-02-28,949,Quebec
2022-02-28,0,Repatriated Travellers
2022-02-28,0,Saskatchewan
2022-02-28,37,Yukon
2022-03-01,359,Alberta
2022-03-01,466,British Columbia
2022-03-01,221,Manitoba
2022-03-01,287,New Brunswick
2022-03-01,366,Newfoundland and Labrador
2022-03-01,127,Northwest Territories
2022-03-01,217,Nova Scotia
2022-03-01,0,Nunavut
2022-03-01,1176,Ontario
2022-03-01,0,Prince Edward Island
2022-03-01,698,Quebec
2022-03-01,0,Repatriated Travellers
2022-03-01,0,Saskatchewan
2022-03-01,4,Yukon
2022-03-02,388,Alberta
2022-03-02,442,British Columbia
2022-03-02,159,Manitoba
2022-03-02,386,New Brunswick
2022-03-02,389,Newfoundland and Labrador
2022-03-02,83,Northwest Territories
2022-03-02,362,Nova Scotia
2022-03-02,141,Nunavut
2022-03-02,1959,Ontario
2022-03-02,962,Prince Edward Island
2022-03-02,1630,Quebec
2022-03-02,0,Repatriated Travellers
2022-03-02,0,Saskatchewan
2022-03-02,6,Yukon
2022-03-03,539,Alberta
2022-03-03,391,British Columbia
2022-03-03,162,Manitoba
2022-03-03,391,New Brunswick
2022-03-03,497,Newfoundland and Labrador
2022-03-03,73,Northwest Territories
2022-03-03,421,Nova Scotia
2022-03-03,0,Nunavut
2022-03-03,2262,Ontario
2022-03-03,0,Prince Edward Island
2022-03-03,1257,Quebec
2022-03-03,0,Repatriated Travellers
2022-03-03,0,Saskatchewan
2022-03-03,2,Yukon
2022-03-04,502,Alberta
2022-03-04,340,British Columbia
2022-03-04,171,Manitoba
2022-03-04,391,New Brunswick
2022-03-04,450,Newfoundland and Labrador
2022-03-04,42,Northwest Territories
2022-03-04,294,Nova Scotia
2022-03-04,101,Nunavut
2022-03-04,2085,Ontario
2022-03-04,1029,Prince Edward Island
2022-03-04,1354,Quebec
2022-03-04,0,Repatriated Travellers
2022-03-04,0,Saskatchewan
2022-03-04,10,Yukon
2022-03-05,429,Alberta
2022-03-05,385,British Columbia
2022-03-05,0,Manitoba
2022-03-05,0,New Brunswick
2022-03-05,469,Newfoundland and Labrador
2022-03-05,0,Northwest Territories
2022-03-05,0,Nova Scotia
2022-03-05,0,Nunavut
2022-03-05,1930,Ontario
2022-03-05,0,Prince Edward Island
2022-03-05,1210,Quebec
2022-03-05,0,Repatriated Travellers
2022-03-05,1013,Saskatchewan
2022-03-05,0,Yukon
2022-03-06,402,Alberta
2022-03-06,327,British Columbia
2022-03-06,334,Manitoba
2022-03-06,0,New Brunswick
2022-03-06,332,Newfoundland and Labrador
2022-03-06,0,Northwest Territories
2022-03-06,0,Nova Scotia
2022-03-06,0,Nunavut
2022-03-06,1787,Ontario
2022-03-06,0,Prince Edward Island
2022-03-06,910,Quebec
2022-03-06,0,Repatriated Travellers
2022-03-06,0,Saskatchewan
2022-03-06,0,Yukon
